Name,Team,POS,ADP,PA,mAVG,mRBI,mR,mSB,mHR,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Cal Raleigh ","SEA","C/DH",18.450000762939453,626.146,-4.776671165800323,6.287939341411154,2.567965991649483,-0.9629320975862208,6.6619976831745555,9.778299752848648,18.308897936884783,29.08719768973343,"Cal Raleigh","21534",663728
"Kyle Tucker ","LAD","OF",14.680000305175781,619.354,2.9017372519411313,3.359778503265414,5.092809048214115,2.0453963950514393,3.0769565174723326,16.476677715944433,11.382452412293102,28.85913012823754,"Kyle Tucker","18345",663656
"Junior Caminero ","TBR","3B",16.59000015258789,631.182,3.1097165518476197,6.3984074072616055,2.3970943826317352,-1.7392402457088494,5.563356915399972,15.729335011432081,11.566005640439602,28.29534065187168,"Junior Caminero","28163",691406
"Brent Rooker ","ATH","OF/DH",53,640.531,2.67712265703756,4.789057313038137,4.0934361623115985,-1.1628372028298593,5.023343172340484,15.42012210189792,11.382452412293102,27.80257451419102,"Brent Rooker","19627",667670
"Elly De La Cruz ","CIN","SS",8.90999984741211,636.565,0.7233586140293818,0.39803285898062535,4.235837476044443,8.934618951944774,0.6327314624922977,14.924579363491521,10.666948205634506,26.59152756912603,"Elly De La Cruz","26668",682829
"Gunnar Henderson ","BAL","SS",12.680000305175781,657.586,2.963448624225642,2.2567081285600024,4.8186613441086665,2.959171227012027,1.7825879760615897,14.780577299967925,10.666948205634506,26.44752550560243,"Gunnar Henderson","26289",683002
"Jackson Chourio ","MIL","OF",20.729999542236328,629.221,3.185778717892709,2.6407997731252584,2.3600725915587395,4.250251874699199,0.5829280767171604,13.019831033993064,11.382452412293102,25.40228344628617,"Jackson Chourio","28806",694192
"Trea Turner ","PHI","SS",28.860000610351562,624.522,5.754987206497726,1.118121905772583,3.0935429162779924,4.427034237764505,-0.8190830777345134,13.57460318857829,10.666948205634506,25.241551394212795,"Trea Turner","16252",607208
"Yordan Alvarez ","HOU","DH",36.22999954223633,550.538,5.9681716107003515,4.075362651267782,2.67156456343814,-2.139707989583838,4.53560298402829,15.110993819850728,8.834582257873738,24.945576077724468,"Yordan Alvarez","19556",670541
"Pete Alonso ","BAL","1B",26.09000015258789,654.513,-0.14874315399305563,5.542842846942309,3.564700431816901,-2.4032915185081123,5.989228591884793,12.544737198142837,11.255791750430232,24.80052894857307,"Pete Alonso","19251",624413
"Hunter Goodman ","COL","C/DH",65.86000061035156,558.386,0.6030889771524803,3.5964616521823913,0.21896801431325935,-2.4379916656679517,2.922759920742668,4.903286898722847,18.308897936884783,24.212184835607626,"Hunter Goodman","29715",696100
"Bryce Harper ","PHI","1B",51.40999984741211,606.017,3.559602693535145,3.188100173809515,2.980338936210389,-0.08543772184271853,2.1483476620307362,11.790951743743067,11.255791750430232,24.0467434941733,"Bryce Harper","11579",547180
"Ketel Marte ","ARI","2B/DH",32.77000045776367,616.155,4.177822913878319,4.8266080923404635,3.3560154980056276,-1.7176728629884688,3.35026603868462,13.993039679920559,8.834582257873738,23.827621937794298,"Ketel Marte","13613",606466
"Shea Langeliers ","ATH","C",54.04999923706055,526.016,0.6214212679473832,1.6755618999273252,0.4525466836351902,-1.376410805839566,3.1064764652836625,4.479595510953994,18.308897936884783,23.78849344783878,"Shea Langeliers","25816",669127
"Kyle Schwarber ","PHI","DH",25.09000015258789,657.414,-3.679600935591793,6.852776252114037,4.918544104820393,-1.4494039862591845,7.240553594786476,13.88286902986993,8.834582257873738,23.717451287743668,"Kyle Schwarber","16478",656941
"Francisco Lindor ","NYM","SS",19.40999984741211,632.509,0.8343029336553097,1.9464934477424989,3.459637522645264,3.449906693030481,2.012688371728041,11.703028968801595,10.666948205634506,23.3699771744361,"Francisco Lindor","12916",596019
"William Contreras ","MIL","C/DH",51.81999969482422,603.063,1.8851094156986874,2.5130367398260454,0.5986535478226626,-1.5663635374954274,0.4889882779902351,3.9194244438422032,18.308897936884783,23.228322380726986,"William Contreras","20503",661388
"Will Smith ","LAD","C",104.55000305175781,500.839,2.5529244356338796,1.0884680101657005,0.7844382384564637,-2.2872431669025377,1.5712976184120933,3.7098851357655986,18.308897936884783,23.01878307265038,"Will Smith","19197",669257
"Zach Neto ","LAA","SS",27.639999389648438,633.259,-0.5894342674776645,1.4327479850300502,3.139970766396615,4.90168979488982,2.284825147103389,11.16979942594221,10.666948205634506,22.83674763157672,"Zach Neto","31347",687263
"Pete Crow-Armstrong ","CHC","OF",29.049999237060547,619.466,-1.4743117106370314,-0.00016045637049172393,3.5322724679293502,7.4635204023790624,0.8761859656541299,10.39750666895502,11.382452412293102,22.77995908124812,"Pete Crow-Armstrong","27769",691718
"Salvador Perez ","KCR","C/1B/DH",98.18000030517578,576.18,-0.2516835961278734,4.274874216744804,-0.7528081950033099,-3.054576146059848,3.0242465921810595,3.2400528717348327,18.308897936884783,22.548950808619615,"Salvador Perez","7304",521692
"Yandy Díaz ","TBR","1B/DH",134.13999938964844,614.692,6.061528122487169,3.03705685206955,1.5634202863029858,-2.556328585776988,1.2059489779107107,9.311625652993426,11.255791750430232,21.567417403423658,"Yandy Diaz","16578",650490
"Rafael Devers ","SFG","1B/DH",56.09000015258789,656.095,-0.1833851045624202,4.557934837691936,3.2722726961767754,-2.5667699930811696,4.220244745249464,9.300297181474585,11.255791750430232,21.556088931904817,"Rafael Devers","17350",646240
"Austin Riley ","ATL","3B",72.7699966430664,626.01,1.2406013466839085,4.042216777325585,2.6361566216731136,-2.442058234650147,3.3704936316085736,8.847410142641033,11.566005640439602,21.413415783080634,"Austin Riley","18360",663586
"Jarren Duran ","BOS","OF",70.05000305175781,606.941,1.784206481902203,0.6320343659257083,2.583830379533358,4.209141837546896,-0.21184554327000352,8.99736752163816,11.382452412293102,21.379819933931262,"Jarren Duran","24617",680776
"Wyatt Langford ","TEX","OF",41.18000030517578,613.447,-0.25930355716884396,1.2376919709358718,3.3820818760652185,2.7406386215145733,1.8260860672206245,8.927194978567444,11.382452412293102,21.309647390860544,"Wyatt Langford","33333",694671
"Nick Kurtz ","ATH","1B",18.360000610351562,576.766,-0.13797217352904226,3.6090270602792693,2.8841089570385883,-2.219077338491399,4.807065722759816,8.943152228057231,11.255791750430232,21.198943978487463,"Nick Kurtz","35110",701762
"James Wood ","WSN","OF/DH",30.270000457763672,630.72,1.0652322532346161,2.0157966860544105,2.527279692611072,2.077402632595383,1.063673998468072,8.749385262963553,11.382452412293102,21.131837675256655,"James Wood","29518",695578
"Manny Machado ","SDP","3B",39.31999969482422,623.311,1.5722150019799455,3.1682326481300884,1.7469344478014157,-0.7120258411373656,2.780017401431482,8.555373658205566,11.566005640439602,21.12137929864517,"Manny Machado","11493",592518
"George Springer ","TOR","OF/DH",97.05000305175781,568.148,1.7115718103318418,1.627363768311409,2.444315232274074,0.4684315907236722,2.3753363201276345,8.627018721768632,11.382452412293102,21.009471134061734,"George Springer","12856",543807
"Freddie Freeman ","LAD","1B",71.7300033569336,618.031,3.1683144009646362,2.6031126391463952,2.73240712208952,-0.7846275932614453,0.9229230691247117,8.642129638063818,11.255791750430232,20.897921388494048,"Freddie Freeman","5361",518692
"Seiya Suzuki ","CHC","OF/DH",98.05000305175781,605.004,0.47052113846802335,2.8289055945639503,2.6104948052929045,-0.14352585346271388,2.6270714738501812,8.393467158712346,11.382452412293102,20.775919571005446,"Seiya Suzuki","30116",673548
"Ben Rice ","NYY","C/1B/DH",49.18000030517578,538.684,-0.44833836391430865,0.7606064369723738,0.7152068881706555,-1.6302133728323016,2.0518188612817307,1.4490804496781498,18.308897936884783,20.757978386562932,"Ben Rice","29576",700250
"Maikel Garcia ","KCR","3B",71.05000305175781,640.153,3.3547743243417725,-0.19260625237096166,2.5578416890426343,4.3148884492737265,-2.2473082835103306,7.787589926776841,11.566005640439602,20.353595567216445,"Maikel Garcia","22715",672580
"Jackson Merrill ","SDP","OF",70.05000305175781,607.362,3.498355714066967,2.098914601023471,1.5094948528871233,-0.39250329737370754,1.0006048182838354,7.714866688887689,11.382452412293102,20.097319101180787,"Jackson Merrill","29490",701538
"Jeremy Peña ","HOU","SS",97.2699966430664,631.049,3.753151394077149,0.42626996456748983,2.3068375514435613,2.122870437223072,-0.6910310507096388,7.918098296601634,10.666948205634506,19.58504650223614,"Jeremy Pena","21636",665161
"Randy Arozarena ","SEA","OF",92.36000061035156,654.009,-3.552063664876949,1.2625669597841238,3.712020981042519,3.988137567999582,1.5734444056418393,6.9841062495911155,11.382452412293102,19.366558661884216,"Randy Arozarena","19290",668227
"Teoscar Hernández ","LAD","OF",138.0500030517578,553.731,1.829268956461252,2.3546731198799935,1.6422335920167612,-1.3161742764475843,2.3893806982900507,6.899382090200474,11.382452412293102,19.281834502493574,"Teoscar Hernandez","13066",606192
"Oneil Cruz ","PIT","OF",88.31999969482422,528.34,-1.1878919801002712,0.4742914844118913,1.6135536868762368,4.306296583806482,1.6453052834375497,6.851555058431888,11.382452412293102,19.23400747072499,"Oneil Cruz","21711",665833
"Jazz Chisholm Jr. ","NYY","2B/3B",22.09000015258789,589.395,-3.1272256404426355,0.32638821608017843,3.068312046034516,6.277941328279266,2.4439497439197275,8.989365693871052,8.834582257873738,18.823947951744792,"Jazz Chisholm Jr.","20454",665862
"Corey Seager ","TEX","SS",100.94999694824219,529.353,3.4798738042845074,2.851209323797504,0.4276001792098304,-2.6519848821113032,2.85481468934604,6.961513114526578,10.666948205634506,18.628461320161083,"Corey Seager","13624",608369
"Mookie Betts ","LAD","SS",57.18000030517578,622.219,2.4963932426420516,1.8026145902925785,2.779053376882882,-0.6653210540709463,0.21551381910209907,6.628253974848664,10.666948205634506,18.295202180483173,"Mookie Betts","13611",605141
"Brenton Doyle ","COL","OF",163.58999633789062,563.211,1.1864949958415894,0.12499755329888058,1.24711315095703,3.16656149964706,0.0954762046572384,5.820643404401798,11.382452412293102,18.203095816694898,"Brenton Doyle","25479",686668
"Byron Buxton ","MIN","OF",71.05000305175781,519.734,-0.330786989660756,1.1587867661638207,1.0470178238166898,1.1097941868516126,2.4546856281512435,5.43949741532261,11.382452412293102,17.82194982761571,"Byron Buxton","14161",621439
"Willy Adames ","SFG","SS",134.0500030517578,649.386,-3.2446758239252573,2.8568712894137076,2.9843479079245534,0.05916411598790489,3.1762191277304823,5.8319266171313915,10.666948205634506,17.498874822765895,"Willy Adames","15986",642715
"Ezequiel Tovar ","COL","SS",208.67999267578125,629.642,2.2490362137540134,2.231825348015948,1.1849279165871216,-0.22050579290713446,0.36238627391878553,5.8076699593687335,10.666948205634506,17.47461816500324,"Ezequiel Tovar","24064",678662
"Bo Bichette ","NYM","SS",101.81999969482422,607.973,5.884667810430642,0.9801439592767974,1.0220346743116757,-1.4447458169802052,-0.7314615608422613,5.710639066196649,10.666948205634506,17.377587271831157,"Bo Bichette","19612",666182
"Heliot Ramos ","SFG","OF",226.4499969482422,613.516,0.8345723667244221,1.840295231191606,1.7712198749898145,-1.2542263627259906,1.6859903430541587,4.877851453234011,11.382452412293102,17.260303865527113,"Heliot Ramos","22515",671218
"Yainer Diaz ","HOU","C/DH",111.68000030517578,529.397,2.737852279734688,0.11182309431347123,-1.7154971574672426,-2.688039425818363,-0.5628601906348419,-2.116721399872288,18.308897936884783,17.192176537012497,"Yainer Diaz","23003",673237
"Taylor Ward ","BAL","OF",161.13999938964844,628.437,-1.0090914960336972,2.5365157165097516,2.395955453556084,-1.7834886117082631,2.647721800738613,4.787612863062488,11.382452412293102,17.170065275355586,"Taylor Ward","17548",621493
"Andy Pages ","LAD","OF",142.5,582.41,0.6629823443561254,1.7486532010150313,1.584052931951459,-0.3387781100911995,0.9707491508724514,4.627659518103868,11.382452412293102,17.01011193039697,"Andy Pages","24816",681624
"Roman Anthony ","BOS","OF",53.72999954223633,598.872,2.2719097166191418,0.8468241482547099,1.9052558499392096,-0.30213829336325787,-0.2091039414297168,4.512747480020087,11.382452412293102,16.89519989231319,"Roman Anthony","31812",701350
"Trevor Story ","BOS","SS",105.2699966430664,575.548,-0.40402749224519396,0.579207967003336,1.0472303652786836,3.3897486793803675,0.601889415830465,5.214048935247658,10.666948205634506,16.880997140882165,"Trevor Story","12564",596115
"Matt Chapman ","SFG","3B",176.82000732421875,612.774,-2.1880080644677897,1.7811147043426094,2.6335812054750196,-0.606138016116553,2.492551162616141,4.113100991849427,11.566005640439602,16.679106632289027,"Matt Chapman","16505",656305
"Michael Harris II ","ATL","OF",99.7699966430664,567.321,1.6132342598415537,0.03833571535582416,0.7043672736089576,2.477209391841259,-0.550820389658822,4.282326250988772,11.382452412293102,16.664778663281876,"Michael Harris II","25931",671739
"Riley Greene ","DET","OF/DH",81.2699966430664,629.43,-0.8628224118027598,2.683965767868975,2.0959597760657838,-2.066393987515672,2.4083634663139972,4.259072610930323,11.382452412293102,16.641525023223423,"Riley Greene","25976",682985
"Eugenio Suárez ","CIN","3B",115.13999938964844,598.36,-3.5254281282771807,4.3189297634259285,0.828369825749046,-2.4764554634762064,4.839759746789839,3.985175744211426,11.566005640439602,16.55118138465103,"Eugenio Suarez","12552",553993
"Dansby Swanson ","CHC","SS",154.82000732421875,628.149,-1.1431274980972812,1.6141568439268243,1.9130612519055439,1.4003219887969591,0.8534459952976635,4.63785858182971,10.666948205634506,16.304806787464216,"Dansby Swanson","18314",621020
"Vinnie Pasquantino ","KCR","1B/DH",80.58999633789062,630.397,0.9166560965361608,3.321262852299593,0.8744488147093615,-2.9130512696901767,1.3799374463812801,3.5792539402362187,11.255791750430232,15.83504569066645,"Vinnie Pasquantino","27676",686469
"Jordan Westburg ","BAL","3B",126.58999633789062,565.457,1.3570974995739922,0.7129407379029358,1.1531610299365311,-1.0001177856623857,1.0148154328439571,3.2378969145950305,11.566005640439602,15.803902555034634,"Jordan Westburg","27815",676059
"Jo Adell ","LAA","OF",122.36000061035156,558.755,-2.4476785019585283,1.98658172264438,0.4519075934460218,-0.17786743102118538,3.556015399530903,3.368958782641591,11.382452412293102,15.751411194934695,"Jo Adell","20220",666176
"CJ Abrams ","WSN","SS",56.45000076293945,610.312,-1.2928740105858945,-0.5987035938053409,0.9593173533851893,5.8962852227669975,-1.1548215092554992,3.809203462505452,10.666948205634506,15.47615166813996,"CJ Abrams","25768",682928
"Tyler Soderstrom ","ATH","1B/OF",90.2300033569336,584.968,0.6055479146470409,1.250646963822855,1.1886349328449355,-1.4048612581286295,1.316671509835696,2.956640063021898,11.382452412293102,15.339092475315,"Tyler Soderstrom","27467",691016
"Alejandro Kirk ","TOR","C",161.5500030517578,483.865,2.2536115945321638,-0.7604767299728017,-1.8575642680736413,-3.0892924888889697,-0.5312863142065469,-3.985008206609796,18.308897936884783,15.323889730274987,"Alejandro Kirk","22581",672386
"Brandon Nimmo ","TEX","OF",154.5,624.009,-0.10019383354698073,0.9160754419279404,2.021225800619108,-0.88657079316289,0.7295855930665007,2.6801222089036787,11.382452412293102,15.062574621196779,"Brandon Nimmo","12927",607043
"Matt Olson ","ATL","1B",50.63999938964844,666.004,-2.628076565635607,3.415450169771525,2.3695944490560743,-2.8588197026081823,2.435330776315245,2.7334791268990553,11.255791750430232,14.989270877329288,"Matt Olson","14344",621566
"Adley Rutschman ","BAL","C",157.17999267578125,564.1,-0.15860906976797862,-0.32759478491066896,-0.3714369878298155,-2.8660342711034965,-0.6678995157132642,-4.391574629325224,18.308897936884783,14.917323307559558,"Adley Rutschman","26288",668939
"Alex Bregman ","CHC","3B",121.36000061035156,641.379,0.015515018340717375,2.291377279031513,1.4131314856253816,-2.5004039870605386,1.0117504492612586,2.231370245198332,11.566005640439602,14.797375885637933,"Alex Bregman","17678",608324
"Brice Turang ","MIL","2B",54.90999984741211,635.963,0.562666187316254,-1.2487368543324993,1.7227692164742818,6.245241391213766,-2.633632580725342,4.648307359946461,8.834582257873738,14.4828896178202,"Brice Turang","22186",668930
"Agustín Ramírez ","MIA","C/DH",81.58999633789062,501.856,-0.7432737816331011,-0.717958095288644,-2.153474752084097,-0.5845985309308287,-0.8735962783243356,-5.072901438261006,18.308897936884783,14.235996498623775,"Agustin Ramirez","26546",682663
"Josh Naylor ","SEA","1B/DH",68.41000366210938,606.719,-0.3933766106975054,1.2275913359443968,0.24288845650830299,0.7001370094410071,0.15228814293408463,1.929528334130286,11.255791750430232,14.185320084560516,"Josh Naylor","18839",647304
"J.T. Realmuto ","PHI","C",220.82000732421875,469,0.8421929471892496,-1.5775087573187065,-2.192523016061967,-0.6449736851857416,-1.677400236064211,-5.250212747441377,18.308897936884783,14.058685189443407,"J.T. Realmuto","11739",592663
"Ian Happ ","CHC","OF",189.13999938964844,632.99,-2.1971503118489712,1.345018684762104,2.238469559234405,-0.6740072534698119,0.6178961627189224,1.3302268413966483,11.382452412293102,13.71267925368975,"Ian Happ","17919",664023
"Willson Contreras ","BOS","1B",174.5,561.926,0.267273745213839,1.2288457989685373,0.5574586150786522,-1.6601277266821963,1.0441652480920098,1.4376156806708422,11.255791750430232,13.693407431101074,"Willson Contreras","11609",575929
"Lawrence Butler ","ATH","OF",152.08999633789062,555.678,-1.7930613084247924,-0.10975974813900752,0.8546868561534711,1.4551855105348248,0.8839601146905848,1.2910114248150806,11.382452412293102,13.673463837108182,"Lawrence Butler","22542",671732
"Alec Burleson ","STL","1B/OF/DH",181.0500030517578,577.308,1.8409081153892692,1.2720143909441881,-0.6976456236983231,-1.719353617550649,0.35572318143105885,1.0516464465155437,11.382452412293102,13.434098858808646,"Alec Burleson","27615",676475
"Xander Bogaerts ","SDP","SS",241.32000732421875,566.971,2.016198735171334,-0.9264995868923328,0.5065996419282491,1.6858213320213677,-1.597022340329798,1.68509778189882,10.666948205634506,13.352045987533327,"Xander Bogaerts","12161",593428
"Bryan Reynolds ","PIT","OF/DH",205.5500030517578,632.717,1.0063882970041178,1.001185433790409,1.1970852882131828,-1.3594663609755315,-0.961408707329578,0.8837839507026001,11.382452412293102,13.2662363629957,"Bryan Reynolds","19326",668804
"Luis Robert Jr. ","NYM","OF",106.5,516.531,-2.7203864523997625,-2.090412067576543,0.3128585715999389,5.583312847578571,-0.28416357115940455,0.8012093280428004,11.382452412293102,13.1836617403359,"Luis Robert Jr.","20043",673357
"Cody Bellinger ","NYY","OF",77.44999694824219,594.783,-0.8135097846827024,0.3043987519106431,0.48901440110381517,0.24269854525038878,0.4109136654693461,0.6335155790514908,11.382452412293102,13.015967991344592,"Cody Bellinger","15998",641355
"Michael Busch ","CHC","1B",107.63999938964844,583.621,-1.5207584198686974,2.1134655929339212,0.7640445187273355,-2.2433572531510686,1.6192529229846118,0.7326473616261024,11.255791750430232,12.988439112056334,"Michael Busch","26319",683737
"Munetaka Murakami ","CHW","3B",999,539.351,-6.656970112901121,1.5384176648823658,1.3577680992838903,0.22598360793950617,3.6779984993176633,0.1431977585223056,11.566005640439602,12.709203398961908,"Munetaka Murakami","sa3063258",808959
"Christian Yelich ","MIL","DH",125.86000061035156,576.994,0.5538756949926483,0.43631865492028415,0.7379341665721598,1.640998334328724,-0.6123791563232798,2.7567476944905365,8.834582257873738,12.591329952364275,"Christian Yelich","11477",592885
"Drake Baldwin ","ATL","C",90.7699966430664,516.621,0.43914274231983813,-0.7811364113921094,-1.9436164428222977,-3.0428769859552767,-1.4139600269243056,-6.742447124774151,18.308897936884783,12.566450812110633,"Drake Baldwin","31539",686948
"Nico Hoerner ","CHC","2B",111,605.139,4.328564247543124,-2.1379790718324876,0.8163135945428304,4.446167344883535,-4.787196865802095,2.6658692493349068,8.834582257873738,12.500451507208647,"Nico Hoerner","21479",663538
"Jonathan Aranda ","TBR","1B",186.58999633789062,564.569,0.9394571272235184,1.557255388099946,-0.4145609175668204,-2.9018230512474794,0.5208089115713743,-0.29886254191946077,11.255791750430232,11.956929208510772,"Jonathan Aranda","21837",666018
"Geraldo Perdomo ","ARI","SS",83.13999938964844,648.379,0.4972996318069489,-2.0025574508677795,2.302526624273047,2.2837304980858746,-2.8503580893467007,0.23064121395139048,10.666948205634506,11.897589419585897,"Geraldo Perdomo","22799",672695
"Miguel Vargas ","CHW","1B/3B",322.95001220703125,576.05,-1.28812138059784,0.5394417488612754,0.05409593773648926,-0.9882903813819094,0.8543193857465471,-0.8285546896354378,11.566005640439602,11.737450950804165,"Miguel Vargas","20178",678246
"Jose Altuve ","HOU","2B/OF/DH",120.7699966430664,594.905,0.2524929868494782,0.29232551926526595,0.8811636591051883,0.23636781810755614,0.24034538100938566,1.902695364336874,8.834582257873738,11.737277622210613,"Jose Altuve","5417",514888
"Jordan Beck ","COL","OF",239.58999633789062,524.115,0.2984376594241671,-0.8783923583941081,-0.41072930803818236,1.4002181639514857,-1.1340568948436451,-0.7245227379002829,11.382452412293102,11.657929674392818,"Jordan Beck","31431",687597
"Gabriel Moreno ","ARI","C",179.5500030517578,440.63,2.928769093565824,-2.546647672881565,-3.014780704275262,-1.9762376398082449,-3.098244156165339,-7.707141079564586,18.308897936884783,11.601756857320195,"Gabriel Moreno","22664",672515
"Jurickson Profar ","ATL","OF",186.32000732421875,589.708,-0.7635795276381077,-0.042853754902213534,1.0372247927299143,-0.8530825350407617,-0.21456571619964848,-0.8368567410508172,11.382452412293102,11.545595671242284,"Jurickson Profar","10815",595777
"Mickey Moniak ","COL","OF",253.82000732421875,478.554,0.3497332821133588,0.06409506167761617,-1.3761065535455435,-0.290234098961614,0.20816500147383643,-1.044347307242346,11.382452412293102,11.338105105050754,"Mickey Moniak","19956",666160
"Bryson Stott ","PHI","2B",185.63999938964844,573.606,0.5468689445046903,-1.3667109204723218,0.5731427091706289,3.687896247131738,-1.9960289811596177,1.4451679991751172,8.834582257873738,11.279750257048855,"Bryson Stott","26294",681082
"Spencer Torkelson ","DET","1B",195.86000061035156,615.772,-3.8959801159091105,2.3852308521999213,0.6140928527825495,-2.5009807038787817,2.296366238886292,-1.1012708759191292,11.255791750430232,11.154520874511103,"Spencer Torkelson","27465",679529
"Kyle Stowers ","MIA","OF",130.9499969482422,576.132,-2.506341725930026,1.8841858536449199,-0.2732545588140417,-2.021808622173645,1.559751331741762,-1.3574677215310307,11.382452412293102,11.024984690762071,"Kyle Stowers","26151",669065
"Ceddanne Rafaela ","BOS","2B/OF",138.63999938964844,557.581,-0.19895405522606915,-0.7632440805985196,-0.07751999615254569,3.105219710196478,-1.0537406883974434,1.0117608898219002,8.834582257873738,10.846343147695638,"Ceddanne Rafaela","24262",678882
"Andrew Vaughn ","MIL","1B",414.7300109863281,533.226,0.6928738642198944,2.135845940509529,-1.9482088042045562,-2.994556397768353,0.6389490933830474,-1.4750963038604386,11.255791750430232,10.780695446569792,"Andrew Vaughn","26197",683734
"Christian Walker ","HOU","1B",200.5500030517578,574.734,-3.800152468485052,1.7982161780122845,-0.10850854131128194,-2.037300310110538,2.6426230187277335,-1.5051221231668535,11.255791750430232,10.75066962726338,"Christian Walker","13419",572233
"Otto Lopez ","MIA","2B/SS",234.58999633789062,556.459,3.5434232977377658,-1.3235247971811162,-0.5632871720479716,1.8683137739842657,-2.6839427927052033,0.8409823097877408,8.834582257873738,10.67556456766148,"Otto Lopez","19608",672640
"Sal Stewart ","CIN","1B/3B",198.41000366210938,479.13,2.722177975916817,-0.6738759269801953,-1.9853288040910249,-1.4557370142296173,-0.5011170054666794,-1.8938807748507003,11.566005640439602,10.672124865588902,"Sal Stewart","31505",701398
"Adolis García ","PHI","OF",228.67999267578125,547.392,-2.955952551048268,0.9728379458463478,-0.7629735400993711,-0.2208474658058118,1.171927010781828,-1.7950086003252743,11.382452412293102,10.587443811967827,"Adolis Garcia","19287",666969
"Jake Burger ","TEX","1B",266.0899963378906,530.123,-1.7341604184237285,1.5063327601852237,-1.149310155566003,-2.570020091819061,2.244412819076766,-1.7027450865468035,11.255791750430232,10.553046663883428,"Jake Burger","22275",669394
"Alec Bohm ","PHI","3B",285,565.446,3.27378142703455,0.1429028702521407,-1.1906721898732362,-2.396918873162432,-1.9028654934227596,-2.073772259171738,11.566005640439602,10.492233381267864,"Alec Bohm","21618",664761
"Daulton Varsho ","TOR","OF",208.63999938964844,543.164,-4.922101911335735,0.7804882474274373,0.07672060991496209,-0.22883277559686888,2.231514562953219,-2.062211266636986,11.382452412293102,10.320241145656116,"Daulton Varsho","19918",662139
"Gleyber Torres ","DET","2B",251.22999572753906,639.179,0.6578930118956754,0.44678809684639254,1.2528327149894496,-1.0168305659473929,-0.8839094285913737,0.45677382919275095,8.834582257873738,10.29135608706649,"Gleyber Torres","16997",650402
"Wilyer Abreu ","BOS","OF",220.67999267578125,504.716,-1.7329554796984101,0.5055686499775477,-1.189777317028082,-0.6095231087238192,0.9032402900198013,-2.123446965452962,11.382452412293102,10.25900544684014,"Wilyer Abreu","23772",677800
"Dylan Crews ","WSN","OF",156.4499969482422,559.897,-2.5803232514390326,-1.3591354442287154,-0.5736489347709792,3.590263503938143,-1.2719100510434054,-2.1947541775439894,11.382452412293102,10.187698234749112,"Dylan Crews","33541",686611
"Mike Trout ","LAA","OF/DH",169.27000427246094,510.886,-1.971976385721319,0.5315357748540627,-0.6067892790070073,-2.1505740074316093,1.879429119417222,-2.318374777888651,11.382452412293102,10.06407763440445,"Mike Trout","10155",545361
"Kazuma Okamoto ","TOR","3B",999,526.682,-2.3833044818129934,1.1881692510335962,-0.5548456114988413,-2.776021275740711,2.0126383709365436,-2.5133637470824057,11.566005640439602,10.052641893357197,"Kazuma Okamoto","sa3063134",672960
